45,1,1,1,"T2MA","VGIE","BIO","A15",,19,1.00000,,,,"20090901","20100630",0.00440,,,,,0,65280,"BfKn",,,,,,,,,,19,0,,,,,100000,1.00000,,,,,0,
46,1,1,1,"T2MB","VGIE","BIO","A15",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,65280,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
46,1,1,0,"T2HB","VGIE","BIO","A15",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,65280,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
47,2,2,2,"T2MA","Verr","ENG1","A119",,19,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,32768,"BfKn",,,,,,,,,,19,0,,,,,200000,2.00000,,,,,0,
48,2,2,2,"T2IA","Verr","ENG1","A119",,13,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,32768,"fKn",,,,,,,,,,13,0,,,,,200000,2.00000,,,,,0,
49,3,3,3,"T2MA","Hor","FRA1","A119",,19,3.00000,,,,"20090901","20100630",0.01320,,,,,16777215,8421376,"BfKn",,,,,,,,,,19,0,,,,,300000,3.00000,,,,,0,
50,3,3,3,"T2MB","Hor","FRA1","A119",,18,3.00000,,,,"20090901","20100630",0.01320,,,"C_FIC",,16777215,8421376,"BfKn",,,,,,,,,,18,0,,,,,300000,3.00000,,,,,0,
50,3,3,0,"T2HB","Hor","FRA1","A119",,18,3.00000,,,,"20090901","20100630",0.01320,,,"C_FIC",,16777215,8421376,"BfKn",,,,,,,,,,18,0,,,,,300000,3.00000,,,,,0,
51,2,2,2,"T2MA","Verb","GES1","A118",,19,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,16512,"BfKn",,,,,,,,,,19,0,,,,,200000,2.00000,,,,,0,
52,2,2,2,"T2MB","Verb","GES1","A118",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,16512,"BfKn",,,,,,,,,,18,0,,,,,200000,2.00000,,,,,0,
52,2,2,0,"T2HB","Verb","GES1","A118",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,16512,"BfKn",,,,,,,,,,18,0,,,,,200000,2.00000,,,,,0,
53,2,2,2,"T2MA","va","GODS1","C7",,19,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16777088,"fKn",,,,,,,,,,19,0,,,,,200000,2.00000,,,,,0,
54,2,2,2,"T2MB","Van4","GODS1","C7",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16777088,"BfKn",,,,,,,,,,18,0,,,,,200000,2.00000,,,,,0,
54,2,2,0,"T2HB","Van4","GODS1","C7",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16777088,"BfKn",,,,,,,,,,18,0,,,,,200000,2.00000,,,,,0,
55,2,2,2,"T2MA","VGST","LO1","F_LO",,19,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16744576,"fnV",,,,1,1,,,,,19,0,,,,,200000,2.00000,,,,,0,
56,2,2,2,"T2MB","VGST","LO1","F_LO",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16744576,"fnV",,,,1,1,,,,,18,0,,,,,200000,2.00000,,,,,0,
56,2,2,0,"T2HB","VGST","LO1","F_LO",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16744576,"fnV",,,,1,1,,,,,18,0,,,,,200000,2.00000,,,,,0,
57,1,1,1,"T2MA","Dom","MO","C2",,19,1.00000,,,,"20090901","20100630",0.00440,,,,,16777215,128,"fKn",,,,,,,,,,19,0,,,,,100000,1.00000,,,,,0,
58,1,1,1,"T2MB","Dom","MO","C2",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,16777215,128,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
58,1,1,0,"T2HB","Dom","MO","C2",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,16777215,128,"BfKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
59,1,1,1,"T2MA","VGIE","FYS1","B3",,19,1.00000,,,,"20090901","20100630",0.00440,,,,,0,33023,"fKn",,,,,,,,,,19,0,,,,,100000,1.00000,,,,,0,
60,1,1,1,"T2MB","VGIE","FYS1","B3",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,33023,"fKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
60,1,1,0,"T2HB","VGIE","FYS1","B3",,18,1.00000,,,,"20090901","20100630",0.00440,,,,,0,33023,"fKn",,,,,,,,,,18,0,,,,,100000,1.00000,,,,,0,
61,4,4,4,"T2MA","VDYG","NED1","C1",,19,4.00000,,,,"20090901","20100630",0.01760,,,,,16777215,16711680,"BfKn",,,,,,,,,,19,0,,,,,400000,4.00000,,,,,0,
